Repo,Folder Path,Has Docker,Port,PoC Logic,Show Description,Vulnerabilities
gpt-researcher,local_repos/gpt-researcher,Yes,${PORT},RCE,"This repository provides ssrf, rce, lfi/rfi proof-of-concept with Docker deployment on port ${PORT} demonstrating web-based attack vectors.","['SSRF', 'RCE', 'LFI/RFI', 'SQL Injection', 'Header Injection', 'Path Traversal', 'XSS', 'Deserialization']"
Kali-Linux-Tools-Interface,local_repos/Kali-Linux-Tools-Interface,No,,RCE,"This repository provides header injection, sql injection, xss proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'SQL Injection', 'XSS', 'LFI/RFI', 'RCE', 'Path Traversal', 'Deserialization']"
weggli-rs_weggli,local_repos/weggli-rs_weggli,No,,RCE,"This repository provides lfi/rfi, sql injection, path traversal proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'SQL Injection', 'Path Traversal']"
AdvBox,local_repos/AdvBox,No,,RCE,"This repository provides lfi/rfi, ssrf, path traversal proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'SSRF', 'Path Traversal', 'RCE', 'XSS', 'SQL Injection']"
tunshell,local_repos/tunshell,Yes,,"RCE, Auth Bypass","This repository provides lfi/rfi, path traversal, rce proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'RCE', 'SSRF', 'Header Injection']"
ocean_ctf,local_repos/ocean_ctf,Yes,6379,"RCE, RFI","This repository provides xss, sql injection, header injection proof-of-concept with Docker deployment on port 6379 demonstrating web-based attack vectors.","['XSS', 'SQL Injection', 'Header Injection', 'RCE', 'LFI/RFI', 'Path Traversal', 'SSRF', 'Deserialization']"
haven,local_repos/haven,No,,RCE,"This repository provides lfi/rfi, xss, sql injection proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'XSS', 'SQL Injection', 'RCE', 'SSRF', 'Path Traversal', 'Header Injection']"
ludwig,local_repos/ludwig,Yes,,RCE,"This repository provides lfi/rfi, path traversal, sql injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'SQL Injection', 'XSS', 'Header Injection', 'SSRF', 'Deserialization', 'RCE']"
SteveSandersonMS_WebWindow,local_repos/SteveSandersonMS_WebWindow,No,,"RCE, LFI","This repository provides header injection, xss, sql injection proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'XSS', 'SQL Injection', 'RCE', 'LFI/RFI']"
Meppo,local_repos/Meppo,No,,"RCE, SQL Injection","This repository provides rce, ssrf, xss proof-of-concept demonstrating web-based attack vectors.","['RCE', 'SSRF', 'XSS', 'LFI/RFI', 'Path Traversal', 'Header Injection', 'SQL Injection']"
goWAPT,local_repos/goWAPT,No,,"RCE, XSS","This repository provides ssrf, lfi/rfi, header injection proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'LFI/RFI', 'Header Injection', 'SQL Injection', 'Path Traversal']"
Spark-TTS,local_repos/Spark-TTS,Yes,,Auth Bypass,"This repository provides sql injection, rce, ssrf proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SQL Injection', 'RCE', 'SSRF', 'LFI/RFI', 'Path Traversal', 'XSS', 'Header Injection']"
c41n,local_repos/c41n,No,,RCE,"This repository provides rce, xss, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['RCE', 'XSS', 'LFI/RFI', 'SQL Injection', 'Header Injection']"
uProxy-p2p,local_repos/uProxy-p2p,Yes,,RCE,"This repository provides rce, lfi/rfi, ssrf proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'SSRF', 'XSS', 'Path Traversal', 'SQL Injection']"
RCE-labs,local_repos/RCE-labs,Yes,,"RCE, RFI","This repository provides rce, xss, lfi/rfi proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'XSS', 'LFI/RFI', 'SSRF', 'Path Traversal', 'Header Injection']"
Burp-UserAgent,local_repos/Burp-UserAgent,No,,XSS,"This repository provides lfi/rfi, xss, header injection proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'XSS', 'Header Injection']"
Cobra,local_repos/Cobra,Yes,5000,RCE,"This repository provides ssrf, rce, xss proof-of-concept with Docker deployment on port 5000 demonstrating web-based attack vectors.","['SSRF', 'RCE', 'XSS', 'Header Injection', 'SQL Injection', 'LFI/RFI', 'Path Traversal', 'Deserialization']"
blackarch-installer,local_repos/blackarch-installer,Yes,,RCE,"This repository provides xss, header injection, lfi/rfi proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['XSS', 'Header Injection', 'LFI/RFI', 'Path Traversal', 'RCE', 'SQL Injection', 'SSRF', 'Deserialization']"
answerWeb,local_repos/answerWeb,No,,RCE,"This repository provides xss, header injection, rce proof-of-concept demonstrating web-based attack vectors.","['XSS', 'Header Injection', 'RCE', 'LFI/RFI', 'SQL Injection', 'Path Traversal', 'SSRF']"
pxe,local_repos/pxe,Yes,,RFI,Security research repository - pxe,[]
ElasticView,local_repos/ElasticView,Yes,,RCE,"This repository provides header injection, rce, lfi/rfi proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['Header Injection', 'RCE', 'LFI/RFI', 'Path Traversal', 'SSRF', 'SQL Injection', 'XSS']"
nlvm,local_repos/nlvm,Yes,,"RCE, SQL Injection","This repository provides rce, lfi/rfi, path traversal proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Path Traversal']"
honoki_bbrf-server,local_repos/honoki_bbrf-server,Yes,1,RCE,This repository provides rce proof-of-concept with Docker deployment on port 1 demonstrating web-based attack vectors.,['RCE']
MemoryShell,local_repos/MemoryShell,No,,RCE,"This repository provides rce, deserialization proof-of-concept demonstrating web-based attack vectors.","['RCE', 'Deserialization']"
m9rco_algorithm-php,local_repos/m9rco_algorithm-php,Yes,1,RCE,"This repository provides lfi/rfi, rce, ssrf proof-of-concept with Docker deployment on port 1 demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'SSRF', 'SQL Injection']"
VcenterKit,local_repos/VcenterKit,No,,RCE,"This repository provides sql injection, rce, ssrf proof-of-concept demonstrating web-based attack vectors.","['SQL Injection', 'RCE', 'SSRF', 'Path Traversal']"
xvwa,local_repos/xvwa,No,,"RCE, SQL Injection","This repository provides header injection, xss, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'XSS', 'LFI/RFI', 'SSRF', 'SQL Injection', 'RCE', 'Path Traversal', 'Deserialization']"
kodbox,local_repos/kodbox,No,,"RCE, SQL Injection","This repository provides rce, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Path Traversal', 'Header Injection', 'SSRF', 'XSS', 'Deserialization', 'SQL Injection']"
BishopFox_h2csmuggler,local_repos/BishopFox_h2csmuggler,Yes,443,"RCE, SSRF","This repository provides path traversal, header injection, lfi/rfi proof-of-concept with Docker deployment on port 443 demonstrating web-based attack vectors.","['Path Traversal', 'Header Injection', 'LFI/RFI', 'SSRF', 'RCE']"
front-end-collect,local_repos/front-end-collect,No,,XSS,This repository provides xss proof-of-concept demonstrating web-based attack vectors.,['XSS']
goHackTools,local_repos/goHackTools,No,,"SQL Injection, RFI","This repository provides lfi/rfi, path traversal, rce proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'RCE', 'SQL Injection']"
igoat,local_repos/igoat,Yes,,SQL Injection,"This repository provides lfi/rfi, rce, sql injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'SQL Injection', 'XSS', 'Path Traversal', 'SSRF', 'Header Injection']"
xss-flash-fishing,local_repos/xss-flash-fishing,No,,XSS,"This repository provides xss, header injection, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['XSS', 'Header Injection', 'LFI/RFI', 'Path Traversal', 'RCE', 'SQL Injection']"
SexyBeast233_SecBooks,local_repos/SexyBeast233_SecBooks,No,,"RCE, SQL Injection","This repository provides xss, sql injection, ssrf proof-of-concept demonstrating web-based attack vectors.","['XSS', 'SQL Injection', 'SSRF', 'RCE', 'Path Traversal', 'LFI/RFI', 'Header Injection', 'Deserialization']"
FridaRpcTool,local_repos/FridaRpcTool,No,,SSRF,This repository provides ssrf proof-of-concept demonstrating web-based attack vectors.,['SSRF']
NacosRce,local_repos/NacosRce,No,,RCE,"This repository provides path traversal, header injection, rce proof-of-concept demonstrating web-based attack vectors.","['Path Traversal', 'Header Injection', 'RCE']"
Archery,local_repos/Archery,Yes,,RCE,"This repository provides sql injection, rce, lfi/rfi proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SQL Injection', 'RCE', 'LFI/RFI', 'Path Traversal', 'SSRF', 'XSS', 'Header Injection']"
block_goose,local_repos/block_goose,Yes,,RCE,"This repository provides lfi/rfi, sql injection, ssrf proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'SQL Injection', 'SSRF', 'Header Injection', 'RCE', 'Path Traversal', 'XSS']"
S7scan,local_repos/S7scan,No,,RCE,"This repository provides path traversal, ssrf, sql injection proof-of-concept demonstrating web-based attack vectors.","['Path Traversal', 'SSRF', 'SQL Injection', 'RCE', 'Header Injection', 'XSS', 'LFI/RFI']"
random_c2_profile,local_repos/random_c2_profile,No,,RCE,"This repository provides sql injection, header injection, xss proof-of-concept demonstrating web-based attack vectors.","['SQL Injection', 'Header Injection', 'XSS', 'LFI/RFI', 'Path Traversal']"
visualize_logs,local_repos/visualize_logs,No,,"RCE, LFI","This repository provides lfi/rfi, path traversal, sql injection proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'SQL Injection', 'XSS', 'Header Injection', 'RCE']"
thc-hydra,local_repos/thc-hydra,Yes,,RCE,This repository provides rce proof-of-concept with Docker deployment demonstrating web-based attack vectors.,['RCE']
mip22,local_repos/mip22,No,,RCE,"This repository provides rce, header injection, ssrf proof-of-concept demonstrating web-based attack vectors.","['RCE', 'Header Injection', 'SSRF', 'SQL Injection', 'XSS', 'LFI/RFI', 'Path Traversal']"
ShiroAndFastJson,local_repos/ShiroAndFastJson,No,,RCE,"This repository provides rce, header injection, deserialization proof-of-concept demonstrating web-based attack vectors.","['RCE', 'Header Injection', 'Deserialization', 'SSRF', 'LFI/RFI']"
Decrypt_Weblogic_Password,local_repos/Decrypt_Weblogic_Password,No,,Web Application,Security research repository - Decrypt_Weblogic_Password,[]
faraday,local_repos/faraday,Yes,6379,RCE,"This repository provides sql injection, lfi/rfi, ssrf proof-of-concept with Docker deployment on port 6379 demonstrating web-based attack vectors.","['SQL Injection', 'LFI/RFI', 'SSRF', 'RCE', 'XSS', 'Deserialization', 'Header Injection', 'Path Traversal']"
ITI_ICS-Security-Tools,local_repos/ITI_ICS-Security-Tools,No,,RCE,"This repository provides lfi/rfi, rce, path traversal proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'Path Traversal', 'SQL Injection', 'Header Injection', 'XSS', 'Deserialization']"
DarkAngel,local_repos/DarkAngel,Yes,,RCE,"This repository provides rce, lfi/rfi, ssrf proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'SSRF', 'XSS', 'Deserialization', 'Header Injection', 'SQL Injection', 'Path Traversal']"
Lakr233_mobilePillowTalkLite,local_repos/Lakr233_mobilePillowTalkLite,No,,RCE,"This repository provides lfi/rfi, rce, xss proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'XSS', 'SQL Injection', 'Header Injection', 'Path Traversal', 'Deserialization', 'SSRF']"
simplehttpserver,local_repos/simplehttpserver,Yes,,"RCE, XSS","This repository provides xss, header injection, ssrf proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['XSS', 'Header Injection', 'SSRF', 'LFI/RFI']"
personal-security-checklist,local_repos/personal-security-checklist,Yes,,LFI/RFI,This repository provides lfi/rfi proof-of-concept with Docker deployment demonstrating web-based attack vectors.,['LFI/RFI']
dual-obsidian-client,local_repos/dual-obsidian-client,No,,RCE,"This repository provides ssrf, xss, rce proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'XSS', 'RCE', 'LFI/RFI']"
chisel,local_repos/chisel,Yes,,"RCE, Header Injection","This repository provides sql injection, header injection, lfi/rfi proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SQL Injection', 'Header Injection', 'LFI/RFI', 'SSRF', 'RCE', 'Path Traversal']"
WordCards,local_repos/WordCards,No,,SQL Injection,"This repository provides lfi/rfi, xss, header injection proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'XSS', 'Header Injection', 'SSRF', 'Path Traversal', 'SQL Injection']"
Camtd,local_repos/Camtd,No,,RCE,"This repository provides xss, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['XSS', 'LFI/RFI', 'Path Traversal', 'SQL Injection', 'RCE', 'Header Injection', 'SSRF']"
myscan,local_repos/myscan,No,,"RCE, SQL Injection","This repository provides lfi/rfi, sql injection, rce proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'SQL Injection', 'RCE', 'SSRF', 'Deserialization', 'Header Injection', 'XSS', 'Path Traversal']"
avenger-sh,local_repos/avenger-sh,No,,"RCE, SQL Injection","This repository provides header injection, rce, ssrf proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'RCE', 'SSRF', 'LFI/RFI', 'Path Traversal']"
empire-web,local_repos/empire-web,No,,RCE,"This repository provides header injection, lfi/rfi, xss proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'LFI/RFI', 'XSS', 'RCE', 'SSRF']"
HElib,local_repos/HElib,No,,RCE,"This repository provides lfi/rfi, xss, path traversal proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'XSS', 'Path Traversal', 'RCE', 'Header Injection']"
ohroy_blog,local_repos/ohroy_blog,No,,RCE,"This repository provides xss, rce, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['XSS', 'RCE', 'LFI/RFI', 'Path Traversal', 'Header Injection']"
nushell,local_repos/nushell,Yes,,RCE,"This repository provides lfi/rfi, path traversal, sql injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'SQL Injection', 'XSS', 'RCE']"
7dog7_bottleneckOsmosis,local_repos/7dog7_bottleneckOsmosis,No,,SQL Injection,"This repository provides ssrf, xss, header injection proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'XSS', 'Header Injection', 'RCE', 'LFI/RFI', 'Path Traversal']"
opensec-cn_kunpeng,local_repos/opensec-cn_kunpeng,No,,"RCE, XSS","This repository provides rce, ssrf, xss proof-of-concept demonstrating web-based attack vectors.","['RCE', 'SSRF', 'XSS', 'LFI/RFI', 'Header Injection', 'SQL Injection', 'Path Traversal']"
gsnova,local_repos/gsnova,Yes,,RCE,"This repository provides lfi/rfi, rce, header injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'Header Injection']"
security-labs-pocs,local_repos/security-labs-pocs,Yes,,"RCE, Privilege Escalation","This repository provides lfi/rfi, ssrf, header injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'SSRF', 'Header Injection', 'RCE', 'Path Traversal', 'SQL Injection', 'XSS']"
CThun,local_repos/CThun,No,,SQL Injection,"This repository provides header injection, ssrf, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'SSRF', 'LFI/RFI', 'Path Traversal', 'XSS', 'SQL Injection']"
DVHMA,local_repos/DVHMA,No,,RCE,"This repository provides lfi/rfi, path traversal, xss proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'XSS', 'SQL Injection', 'Header Injection', 'RCE', 'SSRF', 'Deserialization']"
pedump,local_repos/pedump,No,,"RCE, LFI","This repository provides lfi/rfi, path traversal, sql injection proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'SQL Injection', 'Deserialization', 'Header Injection', 'RCE']"
fingerprintjs,local_repos/fingerprintjs,No,,RCE,"This repository provides lfi/rfi, xss, ssrf proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'XSS', 'SSRF', 'Path Traversal', 'SQL Injection']"
soc-faker,local_repos/soc-faker,Yes,,"RCE, RFI","This repository provides lfi/rfi, sql injection, path traversal proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'SQL Injection', 'Path Traversal', 'Header Injection', 'SSRF', 'XSS', 'RCE']"
n9e_k8s-mon,local_repos/n9e_k8s-mon,Yes,,RCE,"This repository provides ssrf, rce, lfi/rfi proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SSRF', 'RCE', 'LFI/RFI']"
headshots-starter,local_repos/headshots-starter,No,,RCE,This repository provides ssrf proof-of-concept demonstrating web-based attack vectors.,['SSRF']
autocorrect,local_repos/autocorrect,Yes,,RCE,"This repository provides xss, lfi/rfi, sql injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['XSS', 'LFI/RFI', 'SQL Injection', 'Header Injection', 'Path Traversal', 'RCE']"
Citadel,local_repos/Citadel,No,,RCE,"This repository provides ssrf, rce proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'RCE']"
vulnerability,local_repos/vulnerability,Yes,,RCE,"This repository provides lfi/rfi, path traversal, ssrf proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'SSRF', 'XSS', 'SQL Injection', 'RCE', 'Header Injection', 'Deserialization']"
anyproxy,local_repos/anyproxy,No,,RCE,"This repository provides sql injection, ssrf, rce proof-of-concept demonstrating web-based attack vectors.","['SQL Injection', 'SSRF', 'RCE', 'LFI/RFI', 'Path Traversal', 'Header Injection', 'XSS']"
sonnylazuardi_cursor-talk-to-figma-mcp,local_repos/sonnylazuardi_cursor-talk-to-figma-mcp,Yes,3055,RCE,"This repository provides lfi/rfi, ssrf, rce proof-of-concept with Docker deployment on port 3055 demonstrating web-based attack vectors.","['LFI/RFI', 'SSRF', 'RCE', 'XSS']"
zerophish,local_repos/zerophish,No,,RCE,"This repository provides rce, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Path Traversal', 'SSRF', 'Header Injection', 'SQL Injection', 'XSS', 'Deserialization']"
find-sec-bugs,local_repos/find-sec-bugs,No,,RCE,"This repository provides path traversal, lfi/rfi, deserialization proof-of-concept demonstrating web-based attack vectors.","['Path Traversal', 'LFI/RFI', 'Deserialization', 'Header Injection', 'SQL Injection', 'RCE', 'XSS']"
TukTuk,local_repos/TukTuk,No,,RCE,"This repository provides rce, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Path Traversal', 'SQL Injection', 'XSS']"
waypoint,local_repos/waypoint,Yes,14000,RCE,"This repository provides header injection, lfi/rfi, rce proof-of-concept with Docker deployment on port 14000 demonstrating web-based attack vectors.","['Header Injection', 'LFI/RFI', 'RCE', 'Path Traversal', 'SSRF', 'SQL Injection', 'XSS']"
eyes.sh,local_repos/eyes.sh,Yes,8,XSS,"This repository provides sql injection, ssrf, rce proof-of-concept with Docker deployment on port 8 demonstrating web-based attack vectors.","['SQL Injection', 'SSRF', 'RCE', 'XSS', 'LFI/RFI', 'Header Injection']"
biubiu,local_repos/biubiu,No,,RCE,"This repository provides xss, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['XSS', 'LFI/RFI', 'Path Traversal', 'RCE', 'SQL Injection']"
FinalRecon,local_repos/FinalRecon,Yes,,RCE,"This repository provides lfi/rfi, rce, ssrf proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'SSRF', 'Path Traversal']"
eme,local_repos/eme,No,,RCE,"This repository provides lfi/rfi, path traversal, xss proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'XSS', 'RCE']"
AssistantPi,local_repos/AssistantPi,No,,RCE,"This repository provides deserialization, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['Deserialization', 'LFI/RFI', 'Path Traversal', 'SSRF', 'SQL Injection', 'RCE', 'Header Injection']"
EvilOSX,local_repos/EvilOSX,Yes,,Privilege Escalation,"This repository provides rce, lfi/rfi, sql injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'SQL Injection', 'Header Injection', 'Path Traversal']"
MeetC2,local_repos/MeetC2,No,,RCE,"This repository provides rce, lfi/rfi, header injection proof-of-concept demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Header Injection', 'Path Traversal', 'XSS', 'SQL Injection', 'Deserialization', 'SSRF']"
yt-dlp,local_repos/yt-dlp,Yes,,"RCE, Header Injection","This repository provides lfi/rfi, header injection, rce proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'Header Injection', 'RCE', 'SQL Injection', 'Deserialization', 'Path Traversal', 'SSRF', 'XSS']"
teleport,local_repos/teleport,Yes,,RCE,"This repository provides rce, xss, ssrf proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'XSS', 'SSRF', 'SQL Injection', 'Header Injection', 'LFI/RFI', 'Path Traversal', 'Deserialization']"
frida-snippets,local_repos/frida-snippets,No,,"RCE, SQL Injection","This repository provides rce, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Path Traversal']"
SqlChecker,local_repos/SqlChecker,No,,SQL Injection,"This repository provides ssrf, sql injection proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'SQL Injection']"
conpot,local_repos/conpot,Yes,161,RCE,"This repository provides xss, header injection, sql injection proof-of-concept with Docker deployment on port 161 demonstrating web-based attack vectors.","['XSS', 'Header Injection', 'SQL Injection', 'SSRF', 'LFI/RFI', 'Path Traversal', 'RCE']"
secure_headers,local_repos/secure_headers,No,,"RCE, XSS","This repository provides header injection, lfi/rfi, xss proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'LFI/RFI', 'XSS', 'SQL Injection']"
ApkVulCheck,local_repos/ApkVulCheck,No,,RCE,"This repository provides rce, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Path Traversal', 'SSRF']"
DataVistual,local_repos/DataVistual,No,,XSS,"This repository provides lfi/rfi, path traversal, header injection proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'Header Injection', 'XSS']"
odin,local_repos/odin,No,,SSRF,This repository provides ssrf proof-of-concept demonstrating web-based attack vectors.,['SSRF']
RedisJSON,local_repos/RedisJSON,Yes,,RCE,"This repository provides rce, lfi/rfi, path traversal proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Path Traversal', 'Header Injection']"
OldMirrorsFrontend,local_repos/OldMirrorsFrontend,No,,RCE,"This repository provides xss, rce, sql injection proof-of-concept demonstrating web-based attack vectors.","['XSS', 'RCE', 'SQL Injection', 'Header Injection']"
API-Security,local_repos/API-Security,Yes,9,RCE,"This repository provides lfi/rfi, rce, path traversal proof-of-concept with Docker deployment on port 9 demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'Path Traversal', 'SSRF', 'Header Injection']"
Subra,local_repos/Subra,No,,RCE,"This repository provides rce, xss proof-of-concept demonstrating web-based attack vectors.","['RCE', 'XSS']"
joaomatosf_jexboss,local_repos/joaomatosf_jexboss,No,,"RCE, Deserialization","This repository provides header injection, rce, path traversal proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'RCE', 'Path Traversal', 'SQL Injection', 'LFI/RFI']"
prompty,local_repos/prompty,Yes,,RCE,"This repository provides lfi/rfi, deserialization, rce proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'Deserialization', 'RCE', 'Header Injection', 'SQL Injection', 'Path Traversal', 'XSS', 'SSRF']"
nutz,local_repos/nutz,No,,RCE,"This repository provides lfi/rfi, xss, header injection proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'XSS', 'Header Injection', 'RCE', 'SQL Injection', 'Path Traversal', 'SSRF', 'Deserialization']"
SpringBoot-Scan,local_repos/SpringBoot-Scan,No,,RCE,"This repository provides ssrf, xss, rce proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'XSS', 'RCE', 'LFI/RFI', 'Path Traversal']"
